,hydraulic head
2005-01-01,815.2449125537138
2005-01-02,815.2442626953125
2005-01-03,815.2435302734375
2005-01-04,815.242919921875
2005-01-05,815.2420654296875
2005-01-06,815.240966796875
2005-01-07,815.2377319335938
2005-01-08,815.2310180664062
2005-01-09,815.220947265625
2005-01-10,815.208740234375
2005-01-11,815.1926879882812
2005-01-12,815.173583984375
2005-01-13,815.1531982421875
2005-01-14,815.1309204101562
2005-01-15,815.106201171875
2005-01-16,815.0797119140625
2005-01-17,815.05224609375
2005-01-18,815.024169921875
2005-01-19,814.9954223632812
2005-01-20,814.9658203125
2005-01-21,814.9352416992188
2005-01-22,814.90380859375
2005-01-23,814.8724365234375
2005-01-24,814.8404541015625
2005-01-25,814.8082275390625
2005-01-26,814.7756958007812
2005-01-27,814.7425537109375
2005-01-28,814.70947265625
2005-01-29,814.6764526367188
2005-01-30,814.642578125
2005-01-31,814.6087036132812
2005-02-01,814.5742797851562
2005-02-02,814.5399169921875
2005-02-03,814.5052490234375
2005-02-04,814.470703125
2005-02-05,814.4361572265625
2005-02-06,814.4017944335938
2005-02-07,814.367431640625
2005-02-08,814.333251953125
2005-02-09,814.2989501953125
2005-02-10,814.2647094726562
2005-02-11,814.2302856445312
2005-02-12,814.1959228515625
2005-02-13,814.1612548828125
2005-02-14,814.126708984375
2005-02-15,814.0921630859375
2005-02-16,814.0577392578125
2005-02-17,814.0232543945312
2005-02-18,813.989013671875
2005-02-19,813.9547119140625
2005-02-20,813.92041015625
2005-02-21,813.8861694335938
2005-02-22,813.8517456054688
2005-02-23,813.8173217773438
2005-02-24,813.783203125
2005-02-25,813.7489624023438
2005-02-26,813.7146606445312
2005-02-27,813.6804809570312
2005-02-28,813.6464233398438
2005-03-01,813.6123046875
2005-03-02,813.576416015625
2005-03-03,813.5415649414062
2005-03-04,813.5072631835938
2005-03-05,813.4730224609375
2005-03-06,813.4387817382812
2005-03-07,813.4046630859375
2005-03-08,813.3707885742188
2005-03-09,813.3367919921875
2005-03-10,813.302978515625
2005-03-11,813.26904296875
2005-03-12,813.2352905273438
2005-03-13,813.201416015625
2005-03-14,813.1679077148438
2005-03-15,813.134033203125
2005-03-16,813.1002197265625
2005-03-17,813.0665283203125
2005-03-18,813.0330200195312
2005-03-19,812.9993286132812
2005-03-20,812.9659423828125
2005-03-21,812.9323120117188
2005-03-22,812.89892578125
2005-03-23,812.865478515625
2005-03-24,812.8322143554688
2005-03-25,812.7989501953125
2005-03-26,812.7659912109375
2005-03-27,812.73291015625
2005-03-28,812.6998291015625
2005-03-29,812.6669921875
2005-03-30,812.6345825195312
2005-03-31,812.60205078125
2005-04-01,812.5699462890625
2005-04-02,812.5379638671875
2005-04-03,812.5064697265625
2005-04-04,812.4741821289062
2005-04-05,812.4423217773438
2005-04-06,812.4102172851562
2005-04-07,812.3785400390625
2005-04-08,812.34716796875
2005-04-09,812.3154907226562
2005-04-10,812.2838134765625
2005-04-11,812.2525024414062
2005-04-12,812.221435546875
2005-04-13,812.1900024414062
2005-04-14,812.1595458984375
2005-04-15,812.1290893554688
2005-04-16,812.0991821289062
2005-04-17,812.0692138671875
2005-04-18,812.0394287109375
2005-04-19,812.009521484375
2005-04-20,811.979736328125
2005-04-21,811.9493408203125
2005-04-22,811.919189453125
2005-04-23,811.8889770507812
2005-04-24,811.8587036132812
2005-04-25,811.8294677734375
2005-04-26,811.799560546875
2005-04-27,811.770263671875
2005-04-28,811.740478515625
2005-04-29,811.7105712890625
2005-04-30,811.6810302734375
2005-05-01,811.6513061523438
2005-05-02,811.6215209960938
2005-05-03,811.5919189453125
2005-05-04,811.5623168945312
2005-05-05,811.5330810546875
2005-05-06,811.50390625
2005-05-07,811.4755859375
2005-05-08,811.4473266601562
2005-05-09,811.4192504882812
2005-05-10,811.3906860351562
2005-05-11,811.362548828125
2005-05-12,811.3342895507812
2005-05-13,811.3064575195312
2005-05-14,811.2789916992188
2005-05-15,811.25048828125
2005-05-16,811.221923828125
2005-05-17,811.1934204101562
2005-05-18,811.1651611328125
2005-05-19,811.1370849609375
2005-05-20,811.1088256835938
2005-05-21,811.08056640625
2005-05-22,811.0520629882812
2005-05-23,811.0238037109375
2005-05-24,810.9951782226562
2005-05-25,810.96728515625
2005-05-26,810.9392700195312
2005-05-27,810.9114990234375
2005-05-28,810.883056640625
2005-05-29,810.8550415039062
2005-05-30,810.8270263671875
2005-05-31,810.7991943359375
2005-06-01,810.7716674804688
2005-06-02,810.6937866210938
2005-06-03,810.6484375
2005-06-04,810.6062622070312
2005-06-05,810.56591796875
2005-06-06,810.5260009765625
2005-06-07,810.4867553710938
2005-06-08,810.4481811523438
2005-06-09,810.4100341796875
2005-06-10,810.3709106445312
2005-06-11,810.3336791992188
2005-06-12,810.2959594726562
2005-06-13,810.2584838867188
2005-06-14,810.2215576171875
2005-06-15,810.1854248046875
2005-06-16,810.1497192382812
2005-06-17,810.1146850585938
2005-06-18,810.0785522460938
2005-06-19,810.0420532226562
2005-06-20,810.0072631835938
2005-06-21,809.9732666015625
2005-06-22,809.9400024414062
2005-06-23,809.906005859375
2005-06-24,809.873291015625
2005-06-25,809.8391723632812
2005-06-26,809.8062133789062
2005-06-27,809.7744140625
2005-06-28,809.7423095703125
2005-06-29,809.7081909179688
2005-06-30,809.6764526367188
2005-07-01,809.64501953125
2005-07-02,809.6138305664062
2005-07-03,809.581298828125
2005-07-04,809.5494995117188
2005-07-05,809.5177001953125
2005-07-06,809.4848022460938
2005-07-07,809.4517822265625
2005-07-08,809.4192504882812
2005-07-09,809.38623046875
2005-07-10,809.3530883789062
2005-07-11,809.3202514648438
2005-07-12,809.2863159179688
2005-07-13,809.2535400390625
2005-07-14,809.2197875976562
2005-07-15,809.1861572265625
2005-07-16,809.1510009765625
2005-07-17,809.1165771484375
2005-07-18,809.0814208984375
2005-07-19,809.0477905273438
2005-07-20,809.011962890625
2005-07-21,808.9765625
2005-07-22,808.9417114257812
2005-07-23,808.9067993164062
2005-07-24,808.8712768554688
2005-07-25,808.8372192382812
2005-07-26,808.802001953125
2005-07-27,808.7661743164062
2005-07-28,808.7307739257812
2005-07-29,808.6939086914062
2005-07-30,808.656494140625
2005-07-31,808.6207275390625
2005-08-01,808.5834350585938
2005-08-02,808.5462646484375
2005-08-03,808.5097045898438
2005-08-04,808.472412109375
2005-08-05,808.4354858398438
2005-08-06,808.4000244140625
2005-08-07,808.3634643554688
2005-08-08,808.3268432617188
2005-08-09,808.29052734375
2005-08-10,808.2528076171875
2005-08-11,808.2144775390625
2005-08-12,808.1754150390625
2005-08-13,808.1337890625
2005-08-14,808.0933227539062
2005-08-15,808.052978515625
2005-08-16,808.011474609375
2005-08-17,807.9697875976562
2005-08-18,807.928466796875
2005-08-19,807.8880615234375
2005-08-20,807.84765625
2005-08-21,807.8081665039062
2005-08-22,807.76708984375
2005-08-23,807.7265014648438
2005-08-24,807.6861572265625
2005-08-25,807.6442260742188
2005-08-26,807.6035766601562
2005-08-27,807.56201171875
2005-08-28,807.5202026367188
2005-08-29,807.479248046875
2005-08-30,807.4381713867188
2005-08-31,807.396484375
2005-09-01,807.3557739257812
2005-09-02,807.31396484375
2005-09-03,807.2710571289062
2005-09-04,807.2286987304688
2005-09-05,807.186767578125
2005-09-06,807.14453125
2005-09-07,807.1017456054688
2005-09-08,807.0589599609375
2005-09-09,807.0159912109375
2005-09-10,806.9725341796875
2005-09-11,806.9302368164062
2005-09-12,806.8878173828125
2005-09-13,806.8463134765625
2005-09-14,806.8067626953125
2005-09-15,806.7651977539062
2005-09-16,806.7266845703125
2005-09-17,806.6943359375
2005-09-18,806.6611938476562
2005-09-19,806.62841796875
2005-09-20,806.5914306640625
2005-09-21,806.55322265625
2005-09-22,806.5130615234375
2005-09-23,806.4738159179688
2005-09-24,806.4349365234375
2005-09-25,806.395751953125
2005-09-26,806.3593139648438
2005-09-27,806.321533203125
2005-09-28,806.2864379882812
2005-09-29,806.2525634765625
2005-09-30,806.2205810546875
2005-10-01,806.19091796875
2005-10-02,806.1647338867188
2005-10-03,806.1409912109375
2005-10-04,806.1162719726562
2005-10-05,806.0859375
2005-10-06,806.0576782226562
2005-10-07,806.028076171875
2005-10-08,805.9976806640625
2005-10-09,805.9674682617188
2005-10-10,805.93798828125
2005-10-11,805.9105224609375
2005-10-12,805.8854370117188
2005-10-13,805.8606567382812
2005-10-14,805.83251953125
2005-10-15,805.8077392578125
2005-10-16,805.7853393554688
2005-10-17,805.7601928710938
2005-10-18,805.7351684570312
2005-10-19,805.7109375
2005-10-20,805.6878051757812
2005-10-21,805.6632690429688
2005-10-22,805.6380615234375
2005-10-23,805.6129150390625
2005-10-24,805.5888061523438
2005-10-25,805.56591796875
2005-10-26,805.5372924804688
2005-10-27,805.5106811523438
2005-10-28,805.4837036132812
2005-10-29,805.45703125
2005-10-30,805.4305419921875
2005-10-31,805.419921875
2005-11-01,805.4063110351562
2005-11-02,805.3840942382812
2005-11-03,805.3675537109375
2005-11-04,805.3505859375
2005-11-05,805.3312377929688
2005-11-06,805.3136596679688
2005-11-07,805.2957763671875
2005-11-08,805.2780151367188
2005-11-09,805.2601928710938
2005-11-10,805.2420043945312
2005-11-11,805.2220458984375
2005-11-12,805.2037353515625
2005-11-13,805.17724609375
2005-11-14,805.1591796875
2005-11-15,805.1405639648438
2005-11-16,805.1221923828125
2005-11-17,805.1038208007812
2005-11-18,805.0847778320312
2005-11-19,805.0665283203125
2005-11-20,805.0403442382812
2005-11-21,805.0220336914062
2005-11-22,804.9990234375
2005-11-23,804.9805297851562
2005-11-24,804.95556640625
2005-11-25,804.93408203125
2005-11-26,804.9119873046875
2005-11-27,804.89208984375
2005-11-28,804.8667602539062
2005-11-29,804.8470458984375
2005-11-30,804.8226928710938
2005-12-01,804.8035278320312
2005-12-02,804.7805786132812
2005-12-03,804.7616577148438
2005-12-04,804.7398071289062
2005-12-05,804.7171630859375
2005-12-06,804.695068359375
2005-12-07,804.6721801757812
2005-12-08,804.6498413085938
2005-12-09,804.6295776367188
2005-12-10,804.6055908203125
2005-12-11,804.5842895507812
2005-12-12,804.5625610351562
2005-12-13,804.5440673828125
2005-12-14,804.51904296875
2005-12-15,804.4999389648438
2005-12-16,804.4751586914062
2005-12-17,804.4564208984375
2005-12-18,804.4315795898438
2005-12-19,804.4127197265625
2005-12-20,804.3880615234375
2005-12-21,804.3693237304688
2005-12-22,804.3446655273438
2005-12-23,804.323974609375
2005-12-24,804.3025512695312
2005-12-25,804.2807006835938
2005-12-26,804.2597045898438
2005-12-27,804.237060546875
2005-12-28,804.2139892578125
2005-12-29,804.1952514648438
2005-12-30,804.1712036132812
2005-12-31,804.15234375
2006-01-01,804.1284790039062
